VBELV,VBELN,REPETICIONES
91784799,0001167446,2
91785119,0001167792,2
91785142,0001167789,12
91784887,0001167521,12
82388449,0001167502,8
91784879,0001167517,8
91784995,0001167697,9
91782086,0001166283,19
82388910,0001167761,7
82388912,0001167762,11
91785133,0001167772,7
91786476,0001168359,6
82388963,0001167788,12
91785170,0001167864,28
82393143,0001168361,27
91783310,0001166710,28
91785280,0001167970,8
91783287,0001166718,2
91785112,0001167775,2
91785073,0001167650,17
91785314,0001167971,17
91782081,0001166270,2
82389379,0001167938,25
91784920,0001167539,4
91785345,0001167997,28
91785087,0001167817,2
82389362,0001167928,13
91784791,0001167420,28
91785315,0001167941,28
91786453,0001168358,8
91784957,0001167666,28
82388312,0001167497,5
91785199,0001167893,2
82393164,0001168380,7
91785171,0001167865,28
91782144,0001166274,12
91785224,0001167919,2
91786462,0001168326,4
91783449,0001166924,4
82388903,0001167756,10
91784713,0001167376,20
82379264,0001166167,2
91785149,0001167844,2
91782188,0001166375,2
82389398,0001167957,27
91783411,0001166816,28
91786524,0001168365,2
82379359,0001166256,13
82379367,0001166264,27
91785212,0001167907,2
82383349,0001166714,27
82388655,0001167558,8
82388178,0001167452,12
82389072,0001167866,27
82389616,0001168042,27
82379304,0001166201,27
82384052,0001167001,7
82388885,0001167736,9
82389076,0001167660,17
91785286,0001167934,6
82388113,0001167392,27
82388654,0001167557,11
91785223,0001167918,2
91782019,0001166198,28
91783475,0001166946,28
82388105,0001167387,17
82379271,0001166174,27
82388472,0001167524,16
91784772,0001167427,21
91783455,0001166922,22
82379301,0001166198,27
91784827,0001167422,2
82384057,0001167006,5
82389618,0001168044,8
91785186,0001167879,2
91785010,0001167737,28
91785151,0001167846,2
91784929,0001167544,8
91785100,0001167830,2
91785130,0001167807,2
82379645,0001166333,7
91783314,0001166726,25
91782160,0001166309,6
82388863,0001167714,27
91783484,0001166954,15
82389105,0001168015,4
91784975,0001167675,27
91782179,0001166333,8
82379305,0001166202,16
82388111,0001167377,9
82379642,0001166330,27
82389364,0001167930,7
91785044,0001167743,28
91782158,0001166299,28
91785068,0001167765,11
91785126,0001167797,2
91782049,0001166207,28
82383929,0001166880,5
82389394,0001167953,23
82379380,0001166267,26
91782015,0001166154,10
91785127,0001167979,2
91786493,0001168375,28
82388127,0001167406,27
91783308,0001166708,28
91786527,0001168363,14
91782059,0001166162,13
91784746,0001167386,15
91783445,0001166920,17
82379005,0001166147,16
82388944,0001167769,23
91782137,0001166227,2
82383827,0001166939,27
91785157,0001167853,2
91784797,0001167440,28
82379358,0001166255,27
91783379,0001166797,21
82383668,0001166821,13
91784829,0001167463,2
91782057,0001166152,25
91786497,0001168399,9
91784982,0001167624,20
91784961,0001167678,28
91786463,0001168378,5
82388126,0001167405,8
91785354,0001168001,14
91784714,0001167377,10
91784874,0001167501,2
91783483,0001166953,2
82388774,0001167667,23
82379814,0001166373,9
91784774,0001167428,2
82389391,0001167950,27
91783602,0001167005,28
91784873,0001167502,9
82383636,0001166793,10
91785154,0001167849,2
91785286,0001167934,2
91783397,0001166806,28
91783288,0001166719,28
91785019,0001167716,28
91785175,0001167659,10
91784971,0001167670,11
82383845,0001166946,27
91785298,0001167961,28
91783464,0001166928,2
91784903,0001167529,16
91785002,0001167703,21
91783418,0001166826,5
91785110,0001167799,3
91783401,0001166811,4
91786478,0001168389,12
82388130,0001167409,27
82379364,0001166261,21
91784872,0001167503,21
82379398,0001166285,21
91785141,0001167773,23
91783507,0001166860,5
91782070,0001166169,21
82393168,0001168384,27
91782138,0001166228,20
91785302,0001167964,2
82388966,0001167791,12
82383873,0001166865,2
91782038,0001166177,28
82383657,0001166810,15
82379644,0001166332,27
82388102,0001167384,12
91785017,0001167714,28
91782092,0001166231,28
91784876,0001167499,28
82383659,0001166812,27
91785065,0001167615,2
91782050,0001166208,28
91785217,0001167912,2
82384056,0001167005,27
82393167,0001168383,10
91785336,0001167992,11
91783504,0001166859,28
82388790,0001167680,27
91786507,0001168390,23
91786523,0001168368,15
82383652,0001166805,26
91782176,0001166330,28
82388535,0001167533,27
91784742,0001167404,2
91786521,0001168396,2
82383832,0001166942,27
91785005,0001167719,7
82388106,0001167388,27
91785107,0001167785,28
82389388,0001167947,27
91785020,0001167717,14
91782103,0001166219,7
91782148,0001166220,28
82383666,0001166819,27
82379280,0001166184,27
82388576,0001167540,15
82389366,0001167932,27
91784744,0001167411,2
82379399,0001166286,6
91785200,0001167894,2
82393151,0001168368,14
91785023,0001167709,2
82389392,0001167951,27
91785025,0001167707,4
91782178,0001166332,28
91784818,0001167457,28
82379249,0001166152,24
82379296,0001166193,3
82384068,0001167016,14
91785079,0001167837,2
91785187,0001167880,2
91783408,0001166813,28
82388931,0001167653,3
91783446,0001166909,28
82388133,0001167412,3
91784741,0001167390,16
82389393,0001167952,27
82388797,0001167687,24
82379319,0001166215,6
91784960,0001167677,28
91786511,0001168341,2
91785156,0001167852,2
82388661,0001167564,6
82384048,0001166997,13
82388860,0001167711,27
91784965,0001167682,28
91785229,0001167924,2
91784811,0001167466,25
91783603,0001167010,9
91784816,0001167468,3
82383856,0001166859,27
82388957,0001167782,27
82379809,0001166372,4
91785134,0001167781,28
82384074,0001167022,27
91782018,0001166197,28
91785208,0001167903,2
91785013,0001167710,28
91782083,0001166292,20
82388131,0001167410,6
82383928,0001166878,27
82393104,0001168325,2
82388479,0001167530,22
91786461,0001168336,2
91785306,0001167939,26
91783427,0001166833,19
91783531,0001166988,7
91782152,0001166260,22
82383637,0001166794,27
82388143,0001167416,27
91784745,0001167412,4
91785058,0001167761,8
91785312,0001167949,22
82388159,0001167433,27
91785108,0001167786,14
82383837,0001166952,19
91785083,0001167813,2
91783413,0001166818,28
91783552,0001166997,14
82388816,0001167700,27
91784824,0001167448,29
91785318,0001167958,28
82379310,0001166206,27
91784870,0001167504,3
91783469,0001166938,28
91782055,0001166159,11
82379344,0001166241,27
82379379,0001166266,27
91785049,0001167753,2
82383749,0001166995,6
82379390,0001166277,27
91782066,0001166175,2
82389374,0001167972,17
82388874,0001167725,3
82388888,0001167740,8
91782108,0001166264,28
91785136,0001167783,28
91783606,0001167008,4
91784964,0001167681,28
82383345,0001166710,27
91785053,0001167749,28
91782164,0001166339,10
82388129,0001167408,27
91783311,0001166711,19
82388798,0001167688,6
82388184,0001167458,27
91783461,0001166913,2
82379254,0001166157,6
91782087,0001166284,2
91785204,0001167898,2
91783368,0001166781,4
82388948,0001167773,22
91783452,0001166917,28
91785030,0001167726,2
82383831,0001166941,27
82383936,0001166983,10
91784922,0001167537,28
82388806,0001167690,4
82393111,0001168332,3
91784918,0001167536,8
82388640,0001167543,27
82388191,0001167465,12
82388469,0001167521,11
91786503,0001168327,2
91785029,0001167725,4
91785152,0001167847,2
91782068,0001166158,9
91783365,0001166780,4
82379314,0001166210,27
82379336,0001166232,13
82379657,0001166341,2
82388864,0001167715,27
82388134,0001167413,5
82383859,0001166964,7
82388147,0001167420,27
91782159,0001166342,21
91785205,0001167900,2
91785085,0001167815,2
91782105,0001166251,28
91783424,0001166830,3
82388122,0001167401,27
82388880,0001167731,18
82388946,0001167771,14
82388913,0001167763,12
91782032,0001166184,28
82388871,0001167722,27
91785307,0001167951,28
91785040,0001167747,12
91784777,0001167436,2
91783617,0001167015,28
82388313,0001167498,7
82383932,0001166979,27
91783292,0001166730,5
91782096,0001166261,22
91784969,0001167663,3
91783434,0001166836,19
82388785,0001167675,26
82388899,0001167751,27
91785260,0001167928,14
91783465,0001166929,13
82383641,0001166798,22
91785343,0001167999,2
91784731,0001167383,10
82383362,0001166727,17
91784930,0001167556,11
91785113,0001167779,2
91785097,0001167827,2
91785282,0001167937,17
91783596,0001166999,21
82388157,0001167430,12
82389399,0001167958,27
91784860,0001167514,3
91785173,0001167867,28
91784773,0001167464,2
82379332,0001166228,19
91784770,0001167425,28
91784854,0001167492,2
91783450,0001166915,2
91785203,0001167897,2
91785054,0001167750,10
91783286,0001166695,28
82388480,0001167531,19
91782169,0001166327,28
82379330,0001166226,4
82383346,0001166711,18
91783410,0001166815,28
82379365,0001166262,16
82388821,0001167705,19
91784889,0001167520,13
91784973,0001167673,28
82388120,0001167399,27
82383865,0001166860,4
91782044,0001166188,28
91784726,0001167407,28
82383826,0001166938,27
82389386,0001167945,24
91786454,0001168325,3
82388884,0001167735,9
82383855,0001166858,27
82384070,0001167018,16
91785352,0001168004,15
91784916,0001167534,20
91786450,0001168367,28
91783460,0001166930,3
82388818,0001167702,27
82388152,0001167425,27
82388156,0001167429,27
91786490,0001168353,6
82388820,0001167704,27
82388823,0001167706,16
91785181,0001167874,2
91786483,0001168354,2
82379291,0001166189,3
82393170,0001168386,2
91785183,0001167876,2
82393144,0001168362,27
91785161,0001167857,2
82388813,0001167697,8
82379294,0001166528,5
91784812,0001167447,3
91782112,0001166279,2
91783291,0001166733,2
82383342,0001166706,18
91784919,0001167540,16
91784934,0001167554,2
91782016,0001166195,28
91783601,0001167004,10
82393100,0001168321,3
91784989,0001167694,8
91785088,0001167818,2
91782155,0001166300,14
91784796,0001167439,4
82388909,0001167760,27
91785333,0001167993,24
91782132,0001166247,28
91782048,0001166206,28
91785216,0001167911,2
91785120,0001167793,7
82379352,0001166249,12
91785313,0001167950,28
91784737,0001167384,13
91785004,0001167721,28
91785219,0001167914,2
91783485,0001166950,2
91785190,0001167883,2
82383945,0001166978,27
91785155,0001167850,2
82383750,0001166937,13
91784997,0001167696,10
91786522,0001168397,12
91782039,0001166178,3
82393185,0001168398,3
91785168,0001167862,28
91785284,0001167948,23
91782106,0001166252,15
91784780,0001167438,15
91785034,0001167730,2
82389377,0001167936,14
