VBELV,VBELN,REPETICIONES
91785137,0001167802,9
91785329,0001167988,2
91783517,0001166865,3
82393158,0001168374,22
91783474,0001166935,2
91783422,0001166822,2
82379257,0001166160,6
82383662,0001166815,27
91785353,0001168002,5
91783615,0001167018,17
82388861,0001167712,27
91785026,0001167722,28
91783294,0001166734,2
82388141,0001167414,27
91784952,0001167559,23
91785317,0001167957,28
91783500,0001166963,13
82388145,0001167418,3
82379293,0001166191,27
91784991,0001167689,2
91785150,0001167845,2
91783620,0001167022,28
91786496,0001168381,26
91784872,0001167503,2
82383869,0001166969,27
82389568,0001168003,14
91784775,0001167429,28
82383642,0001166799,4
82388812,0001167696,9
91785039,0001167746,2
82388309,0001167494,2
82379684,0001166345,6
82388148,0001167421,3
91782094,0001166223,2
91785206,0001167901,2
82388183,0001167457,27
91782080,0001166269,28
91782010,0001166200,2
91783376,0001166794,28
91784724,0001167387,18
82388169,0001167443,5
91785185,0001167878,2
91785305,0001167973,8
82384072,0001167020,8
91785371,0001168017,2
91784938,0001167548,28
91782079,0001166268,28
82383393,0001166771,3
91786480,0001168329,2
82389614,0001168011,7
91785101,0001167831,2
91782045,0001166189,4
82389557,0001167996,27
82393117,0001168338,2
91784981,0001167687,25
82388895,0001167747,11
91785344,0001167996,28
91782098,0001166254,13
82383764,0001166922,21
91783519,0001166878,28
82379382,0001166269,27
91782115,0001166233,28
91784886,0001167518,2
91784852,0001167494,3
91785264,0001167931,26
91785299,0001167962,28
82388787,0001167677,27
91784945,0001167564,7
91784949,0001167561,11
91783290,0001166721,4
91785094,0001167824,2
91785337,0001167976,14
91782131,0001166246,27
91785165,0001167859,2
91784734,0001167401,28
82379308,0001166204,27
82379407,0001166294,4
82379385,0001166272,27
91785009,0001167736,10
82393130,0001168348,3
91786494,0001168351,13
82393166,0001168382,15
91785036,0001167732,4
82388658,0001167561,10
91785368,0001168015,5
91783369,0001166778,2
82383833,0001166943,23
91784905,0001167531,20
91785102,0001167832,2
82379309,0001166205,15
91785073,0001167650,11
91783423,0001166823,5
91782107,0001166263,2
91784978,0001167686,22
82384071,0001167019,27
91785099,0001167829,2
91785262,0001167930,8
91785042,0001167740,9
91786499,0001168352,5
82383933,0001166980,7
91785115,0001167800,2
91784901,0001167530,23
82379315,0001166211,27
82379661,0001166310,14
82388659,0001167562,10
82383935,0001166982,19
91785167,0001167861,11
82388825,0001167708,27
82383722,0001166836,18
82389554,0001167993,23
82388308,0001167493,2
91782118,0001166236,28
82383672,0001166825,11
91786485,0001168373,3
82379300,0001166197,27
91785015,0001167712,28
91782064,0001166174,28
82383872,0001166864,10
91783523,0001166985,9
91784956,0001167665,28
82388574,0001167538,18
91783491,0001166940,28
91785227,0001167922,2
82389598,0001168007,8
82388103,0001167385,10
91783358,0001166768,2
82388470,0001167522,27
82383938,0001166985,8
91785078,0001167811,2
82383714,0001166834,17
91784800,0001167454,6
82389556,0001167995,6
82383860,0001166965,5
91783306,0001166717,23
91782189,0001166376,5
91782122,0001166226,5
82379268,0001166171,27
82383939,0001166986,20
82379363,0001166260,21
82393134,0001168352,4
91785319,0001167959,26
91785047,0001167751,28
82388450,0001167503,21
82383878,0001166973,27
82383745,0001166936,2
91785111,0001167774,28
91785201,0001167895,2
91783305,0001166716,28
91782071,0001166160,7
91785063,0001167617,28
91785144,0001167791,13
82379400,0001166287,8
91785232,0001167888,4
91785297,0001167960,2
91783524,0001166986,21
91783605,0001167007,28
91785148,0001167843,2
82379328,0001166224,22
91784814,0001167453,4
82388786,0001167676,27
82388945,0001167770,27
82389558,0001167997,27
91785194,0001167887,2
82389371,0001167934,2
82389411,0001167970,7
82383352,0001166717,22
82383397,0001166775,7
82379361,0001166258,18
91782190,0001166378,15
82388170,0001167444,5
82383648,0001166801,24
91783467,0001166937,14
82384064,0001167013,26
82393174,0001168390,22
91785070,0001167767,5
82388947,0001167772,6
82379326,0001166222,7
91783548,0001166975,7
91782069,0001166168,2
82388465,0001167517,7
91786471,0001168348,4
91782021,0001166163,2
82379334,0001166230,27
91783481,0001166853,2
82388153,0001167426,27
91783509,0001166969,28
82379337,0001166233,27
82379813,0001166374,8
82379660,0001166309,22
82388641,0001167544,7
82393142,0001168360,27
82388869,0001167720,16
91785064,0001167618,8
82379406,0001166293,11
91784850,0001167497,6
82383768,0001166926,27
82388187,0001167461,7
82389403,0001167962,27
82379842,0001166379,4
82383660,0001166813,27
82383350,0001166715,27
91783444,0001166919,2
82379648,0001166336,5
82388892,0001167744,27
91783416,0001166808,2
91784862,0001167512,12
91782041,0001166187,28
91783496,0001166949,28
91784863,0001167511,7
82388811,0001167695,11
82393140,0001168358,7
91785024,0001167720,17
91784869,0001167505,2
91785360,0001168011,8
91783487,0001166958,28
91783486,0001166957,2
91784712,0001167375,2
82389371,0001167934,6
91786527,0001168363,14
91782074,0001166155,8
91783458,0001166926,28
82388789,0001167679,27
91782042,0001166294,5
82388796,0001167686,21
82379818,0001166376,4
91785129,0001167804,2
82388956,0001167781,27
82388778,0001167670,10
91784928,0001167543,28
82379312,0001166208,27
91785193,0001167886,2
82379325,0001166221,27
91782166,0001166341,3
82379396,0001166283,18
91783498,0001166965,6
91782037,0001166528,6
91783476,0001166947,13
91783412,0001166817,2
82388792,0001167682,27
91786458,0001168320,2
82379844,0001166381,16
91782125,0001166240,28
82388859,0001167710,27
82383765,0001166923,27
91784807,0001167418,4
82388662,0001167565,3
82388898,0001167750,9
91786505,0001168350,3
82388468,0001167520,12
82383828,0001166853,2
91785209,0001167904,2
91785296,0001167944,24
91783298,0001166723,28
91785117,0001167805,2
91785325,0001167984,2
91786473,0001168398,4
91785159,0001167855,2
82388477,0001167528,17
82393128,0001168346,9
91786474,0001168340,3
91782078,0001166258,19
91785220,0001167915,2
82388882,0001167733,27
82388791,0001167681,27
82388795,0001167685,22
82379089,0001166148,27
82379311,0001166207,27
91785308,0001167952,28
82388868,0001167719,6
91784820,0001167459,10
91782168,0001166335,6
82383395,0001166773,3
82379335,0001166231,27
82393105,0001168326,3
82383635,0001166792,5
91785084,0001167814,2
91783482,0001166854,28
82389383,0001167942,2
91784972,0001167685,23
91783530,0001166987,2
91782151,0001166289,25
91784715,0001167394,28
91784942,0001167552,2
91784809,0001167456,9
91784790,0001167419,2
91783304,0001166715,28
82393160,0001168376,11
82388771,0001167664,16
82379320,0001166216,6
82379640,0001166328,27
91784962,0001167679,28
91786464,0001168379,23
82384047,0001166996,5
91782043,0001166293,12
82383762,0001166920,16
82388185,0001167459,9
91784855,0001167498,8
91782063,0001166173,3
91784798,0001167441,28
82388916,0001167618,7
91784913,0001167535,8
91783610,0001167013,27
91784921,0001167538,19
82389071,0001167865,27
82388447,0001167500,2
91784789,0001167433,28
82383366,0001166730,4
91785324,0001167983,2
82383673,0001166826,4
91784786,0001167443,6
82379387,0001166274,11
91782174,0001166325,28
82388101,0001167383,9
91785014,0001167711,28
91784732,0001167399,28
82393186,0001168399,8
91785311,0001167938,26
91784946,0001167565,4
91785177,0001167870,2
91783419,0001166824,27
91784735,0001167402,28
91784851,0001167493,3
91785327,0001167986,2
91784808,0001167455,7
82388965,0001167790,27
91785342,0001168005,2
91783526,0001166980,8
91782102,0001166278,14
82388949,0001167774,27
91782034,0001166204,28
82388810,0001167694,7
82383774,0001166932,13
82379348,0001166245,27
82379393,0001166280,22
91784771,0001167426,28
91785095,0001167825,2
91783511,0001166971,28
91784996,0001167699,7
91785153,0001167848,2
82383876,0001166971,27
82388901,0001167754,27
82379252,0001166155,7
91786488,0001168334,2
91784815,0001167435,10
82388872,0001167723,27
91785052,0001167756,11
91786517,0001168377,17
91782073,0001166167,3
82388783,0001167673,27
82388459,0001167511,6
