PEDIDO,EXISTE_EN_TRACKING,EXISTE_EN_TABLA_LINEAS,FILAS_TABLA_LINEAS,LINEAS,UNIDADES,DUPLICADO,RESULTADO,OBSERVACION
4190139776,SI,NO,0,,,NO,SIN_COBERTURA,
4190139768,SI,NO,0,,,NO,SIN_COBERTURA,
4190139767,SI,SI,1,134,4091,NO,OK,
4190139765,SI,NO,0,,,NO,SIN_COBERTURA,
1167259,SI,SI,1,64,862,NO,OK,
4190139756,SI,NO,0,,,NO,SIN_COBERTURA,
4190139753,SI,NO,0,,,NO,SIN_COBERTURA,
4190139749,SI,NO,0,,,NO,SIN_COBERTURA,
4190139743,SI,SI,1,6,279,NO,OK,
4190139741,SI,SI,1,8,363,NO,OK,
4190139735,SI,NO,0,,,NO,SIN_COBERTURA,
4190139734,SI,NO,0,,,NO,SIN_COBERTURA,
4190139733,SI,NO,0,,,NO,SIN_COBERTURA,
4190139720,SI,SI,1,17,574,NO,OK,
4190139718,SI,NO,0,,,NO,SIN_COBERTURA,
4190139717,SI,NO,0,,,NO,SIN_COBERTURA,
4190139716,SI,SI,1,10,4085,NO,OK,
4190139709,SI,SI,1,4,70,NO,OK,
4190139707,SI,NO,0,,,NO,SIN_COBERTURA,
4190139706,SI,SI,1,11,244,NO,OK,
4190139705,SI,SI,1,14,1821,NO,OK,
4190139703,SI,SI,1,28,792,NO,OK,
4190139701,SI,NO,0,,,NO,SIN_COBERTURA,
4190139700,SI,NO,0,,,NO,SIN_COBERTURA,
4190139699,SI,NO,0,,,NO,SIN_COBERTURA,
4190139712,SI,SI,1,31,605,NO,OK,
4190139697,SI,NO,0,,,NO,SIN_COBERTURA,
4190139696,SI,SI,1,24,896,NO,OK,
4190139695,SI,NO,0,,,NO,SIN_COBERTURA,
4190139688,SI,SI,1,15,1157,NO,OK,
4190139685,SI,NO,0,,,NO,SIN_COBERTURA,
4190139684,SI,NO,0,,,NO,SIN_COBERTURA,
4190139681,SI,SI,1,8,393,NO,OK,
4190139674,SI,NO,0,,,NO,SIN_COBERTURA,
4190139672,SI,SI,1,9,86,NO,OK,
4190139671,SI,NO,0,,,NO,SIN_COBERTURA,
4190139670,SI,SI,1,4,56,NO,OK,
4190139668,SI,NO,0,,,NO,SIN_COBERTURA,
4190139666,SI,SI,1,2,75,NO,OK,
4190139658,SI,NO,0,,,NO,SIN_COBERTURA,
4190139657,SI,NO,0,,,NO,SIN_COBERTURA,
4190139656,SI,NO,0,,,NO,SIN_COBERTURA,
4190139652,SI,NO,0,,,NO,SIN_COBERTURA,
4190139645,SI,NO,0,,,NO,SIN_COBERTURA,
4190139651,SI,NO,0,,,NO,SIN_COBERTURA,
4190139669,SI,NO,0,,,NO,SIN_COBERTURA,
4190139638,SI,SI,1,11,163,NO,OK,
4190139635,SI,NO,0,,,NO,SIN_COBERTURA,
4190139622,SI,NO,0,,,NO,SIN_COBERTURA,
4190139621,SI,NO,0,,,NO,SIN_COBERTURA,
4190139619,SI,SI,1,5,150,NO,OK,
4190139611,SI,SI,1,41,1872,NO,OK,
4190139605,SI,NO,0,,,NO,SIN_COBERTURA,
4190139603,SI,NO,0,,,NO,SIN_COBERTURA,
4190139601,SI,NO,0,,,NO,SIN_COBERTURA,
4190139598,SI,NO,0,,,NO,SIN_COBERTURA,
4190139595,SI,NO,0,,,NO,SIN_COBERTURA,
1167068,SI,NO,0,,,NO,SIN_COBERTURA,
1167066,SI,SI,1,9,90,NO,OK,
4190139585,SI,SI,1,49,1159,NO,OK,
4190139584,SI,NO,0,,,NO,SIN_COBERTURA,
4190139579,SI,SI,1,16,403,NO,OK,
4190139573,SI,NO,0,,,NO,SIN_COBERTURA,
4190139567,SI,NO,0,,,NO,SIN_COBERTURA,
4190139564,SI,SI,1,28,520,NO,OK,
4190139563,SI,SI,1,19,633,NO,OK,
1167030,SI,NO,0,,,NO,SIN_COBERTURA,
1167029,SI,NO,0,,,NO,SIN_COBERTURA,
1167027,SI,NO,0,,,NO,SIN_COBERTURA,
4190139540,SI,SI,1,30,2268,NO,OK,
4190139487,SI,NO,0,,,NO,SIN_COBERTURA,
4190139482,SI,NO,0,,,NO,SIN_COBERTURA,
4190139474,SI,NO,0,,,NO,SIN_COBERTURA,
4190139468,SI,NO,0,,,NO,SIN_COBERTURA,
4190139462,SI,SI,1,42,931,NO,OK,
4190139461,SI,SI,1,4,421,NO,OK,
4190139450,SI,SI,1,18,747,NO,OK,
4190139449,SI,NO,0,,,NO,SIN_COBERTURA,
4190139448,SI,NO,0,,,NO,SIN_COBERTURA,
4190139447,SI,SI,1,14,747,NO,OK,
4190139446,SI,NO,0,,,NO,SIN_COBERTURA,
4190139445,SI,NO,0,,,NO,SIN_COBERTURA,
4190139444,SI,NO,0,,,NO,SIN_COBERTURA,
4190139438,SI,NO,0,,,NO,SIN_COBERTURA,
4190139434,SI,SI,1,2,48,NO,OK,
4190139433,SI,NO,0,,,NO,SIN_COBERTURA,
4190139431,SI,SI,1,3,30250,NO,OK,
4190139430,SI,NO,0,,,NO,SIN_COBERTURA,
4190139426,SI,SI,1,35,703,NO,OK,
4190139420,SI,SI,1,16,595,NO,OK,
4190139419,SI,NO,0,,,NO,SIN_COBERTURA,
4190139418,SI,NO,0,,,NO,SIN_COBERTURA,
4190139437,SI,NO,0,,,NO,SIN_COBERTURA,
4190139429,SI,SI,1,25,837,NO,OK,
4190139415,SI,SI,1,33,451,NO,OK,
4190139412,SI,NO,0,,,NO,SIN_COBERTURA,
4190139408,SI,NO,0,,,NO,SIN_COBERTURA,
1166620,SI,NO,0,,,NO,SIN_COBERTURA,
4190139401,SI,SI,1,22,328,NO,OK,
4190139397,SI,SI,1,12,544,NO,OK,
4190139396,SI,NO,0,,,NO,SIN_COBERTURA,
4190139394,SI,NO,0,,,NO,SIN_COBERTURA,
4190139393,SI,SI,1,13,478,NO,OK,
4190139391,SI,SI,1,1,288,NO,OK,
4190139392,SI,SI,1,52,737,NO,OK,
4190139388,SI,NO,0,,,NO,SIN_COBERTURA,
4190139383,SI,NO,0,,,NO,SIN_COBERTURA,
4190139379,SI,NO,0,,,NO,SIN_COBERTURA,
4190139378,SI,NO,0,,,NO,SIN_COBERTURA,
4190139376,SI,NO,0,,,NO,SIN_COBERTURA,
4190139372,SI,SI,1,14,422,NO,OK,
4190139369,SI,NO,0,,,NO,SIN_COBERTURA,
4190139368,SI,NO,0,,,NO,SIN_COBERTURA,
4190139364,SI,NO,0,,,NO,SIN_COBERTURA,
4190139360,SI,NO,0,,,NO,SIN_COBERTURA,
4190139356,SI,NO,0,,,NO,SIN_COBERTURA,
1166573,SI,NO,0,,,NO,SIN_COBERTURA,
1166569,SI,SI,1,25,434,NO,OK,
1166564,SI,SI,1,91,1445,NO,OK,
4190139366,SI,NO,0,,,NO,SIN_COBERTURA,
4190139350,SI,SI,1,11,261,NO,OK,
4190139340,SI,SI,1,16,485,NO,OK,
4190139339,SI,NO,0,,,NO,SIN_COBERTURA,
4190139337,SI,SI,1,6,72,NO,OK,
4190139336,SI,SI,1,15,1294,NO,OK,
1166527,SI,SI,1,31,452,NO,OK,
4190139331,SI,NO,0,,,NO,SIN_COBERTURA,
4190139328,SI,NO,0,,,NO,SIN_COBERTURA,
4190139327,SI,SI,1,21,170,NO,OK,
4190139324,SI,NO,0,,,NO,SIN_COBERTURA,
4190139323,SI,SI,1,2,36,NO,OK,
4190139319,SI,SI,1,36,1863,NO,OK,
4190139313,SI,SI,1,26,406,NO,OK,
4190139312,SI,SI,1,35,369,NO,OK,
4190139309,SI,NO,0,,,NO,SIN_COBERTURA,
4190139307,SI,SI,1,9,108,NO,OK,
4190139297,SI,SI,1,2,100,NO,OK,
4190139296,SI,NO,0,,,NO,SIN_COBERTURA,
4190139295,SI,SI,1,14,618,NO,OK,
4190139294,SI,SI,1,15,203,NO,OK,
4190139293,SI,NO,0,,,NO,SIN_COBERTURA,
4190139286,SI,NO,0,,,NO,SIN_COBERTURA,
4190139280,SI,NO,0,,,NO,SIN_COBERTURA,
4190139267,SI,SI,1,9,524,NO,OK,
4190139265,SI,NO,0,,,NO,SIN_COBERTURA,
4190139281,SI,NO,0,,,NO,SIN_COBERTURA,
4190139272,SI,SI,1,42,1976,NO,OK,
4190139256,SI,NO,0,,,NO,SIN_COBERTURA,
4190139255,SI,NO,0,,,NO,SIN_COBERTURA,
4190139250,SI,NO,0,,,NO,SIN_COBERTURA,
4190139235,SI,SI,1,51,511,NO,OK,
4190139248,SI,SI,1,24,223,NO,OK,
4190139210,SI,SI,1,6,126,NO,OK,
4190139226,SI,NO,0,,,NO,SIN_COBERTURA,
4190139195,SI,SI,1,35,247,NO,OK,
4190139191,SI,NO,0,,,NO,SIN_COBERTURA,
4190139185,SI,SI,1,14,248,NO,OK,
4190139184,SI,SI,1,26,424,NO,OK,
4190139178,SI,NO,0,,,NO,SIN_COBERTURA,
4190139177,SI,NO,0,,,NO,SIN_COBERTURA,
1168132,SI,NO,0,,,NO,SIN_COBERTURA,
4190140026,SI,NO,0,,,NO,SIN_COBERTURA,
4190140021,SI,NO,0,,,NO,SIN_COBERTURA,
4190140019,SI,NO,0,,,NO,SIN_COBERTURA,
1168123,SI,SI,1,34,4414,NO,OK,
1168119,SI,SI,1,1,240,NO,OK,
1168118,SI,SI,1,38,1585,NO,OK,
1168116,SI,SI,1,1,200,NO,OK,
4190140016,SI,NO,0,,,NO,SIN_COBERTURA,
4190140020,SI,NO,0,,,NO,SIN_COBERTURA,
4190140007,SI,SI,1,16,2762,NO,OK,
1168084,SI,SI,1,5,315,NO,OK,
4190140000,SI,NO,0,,,NO,SIN_COBERTURA,
1168072,SI,SI,1,2,144,NO,OK,
4190139984,SI,SI,1,1,12,NO,OK,
4190139951,SI,NO,0,,,NO,SIN_COBERTURA,
1167355,SI,SI,1,11,848,NO,OK,
1167319,SI,SI,1,28,513,NO,OK,
4190139793,SI,NO,0,,,NO,SIN_COBERTURA,
4190139761,SI,NO,0,,,NO,SIN_COBERTURA,
4190139725,SI,NO,0,,,NO,SIN_COBERTURA,
1167203,SI,SI,1,30,894,NO,OK,
1167200,SI,SI,1,2,272,NO,OK,
1167183,SI,SI,1,2,156,NO,OK,
1167147,SI,SI,1,3,360,NO,OK,
4190139637,SI,NO,0,,,NO,SIN_COBERTURA,
1167125,SI,SI,1,1,40,NO,OK,
4190139633,SI,SI,1,28,5088,NO,OK,
4190139620,SI,NO,0,,,NO,SIN_COBERTURA,
4190139613,SI,SI,1,4,663,NO,OK,
4190139581,SI,NO,0,,,NO,SIN_COBERTURA,
1167047,SI,SI,1,2,258,NO,OK,
4190139556,SI,SI,1,18,2988,NO,OK,
4190139554,SI,SI,1,5,176,NO,OK,
4190139435,SI,SI,1,63,3800,NO,OK,
1166639,SI,SI,1,3,213,NO,OK,
1166633,SI,SI,1,56,4109,NO,OK,
4190139423,SI,NO,0,,,NO,SIN_COBERTURA,
4190139387,SI,NO,0,,,NO,SIN_COBERTURA,
4190139381,SI,NO,0,,,NO,SIN_COBERTURA,
1166582,SI,SI,1,8,161,NO,OK,
1166560,SI,SI,1,1,180,NO,OK,
4190139346,SI,NO,0,,,NO,SIN_COBERTURA,
1166530,SI,SI,1,19,1176,NO,OK,
1166522,SI,NO,0,,,NO,SIN_COBERTURA,
1166508,SI,NO,0,,,NO,SIN_COBERTURA,
1166497,SI,SI,1,2,556,NO,OK,
1166482,SI,SI,1,6,359,NO,OK,
1166479,SI,SI,1,4,471,NO,OK,
4190139276,SI,NO,0,,,NO,SIN_COBERTURA,
1166434,SI,SI,1,35,836,NO,OK,
4190139246,SI,SI,1,62,792,NO,OK,
4190139222,SI,NO,0,,,NO,SIN_COBERTURA,
4190139220,SI,NO,0,,,NO,SIN_COBERTURA,
4190139206,SI,SI,1,26,5590,NO,OK,
4190139219,SI,NO,0,,,NO,SIN_COBERTURA,
1168110,SI,NO,0,,,NO,SIN_COBERTURA,
1168121,SI,NO,0,,,NO,SIN_COBERTURA,
1168095,SI,NO,0,,,NO,SIN_COBERTURA,
1168091,SI,NO,0,,,NO,SIN_COBERTURA,
1168090,SI,NO,0,,,NO,SIN_COBERTURA,
4190139842,SI,SI,1,7,468,NO,OK,
1167308,SI,SI,1,22,672,NO,OK,
1167274,SI,SI,1,178,2968,NO,OK,
1167273,SI,SI,1,16,1403,NO,OK,
1167272,SI,NO,0,,,NO,SIN_COBERTURA,
1167271,SI,NO,0,,,NO,SIN_COBERTURA,
1167270,SI,NO,0,,,NO,SIN_COBERTURA,
1167245,SI,NO,0,,,NO,SIN_COBERTURA,
1167232,SI,NO,0,,,NO,SIN_COBERTURA,
1167176,SI,NO,0,,,NO,SIN_COBERTURA,
1167119,SI,NO,0,,,NO,SIN_COBERTURA,
1167107,SI,SI,1,19,419,NO,OK,
1167096,SI,SI,1,66,1128,NO,OK,
4190139602,SI,SI,1,35,714,NO,OK,
1166704,SI,SI,1,8,616,NO,OK,
1166702,SI,SI,1,10,1324,NO,OK,
1166662,SI,NO,0,,,NO,SIN_COBERTURA,
1166625,SI,NO,0,,,NO,SIN_COBERTURA,
1166554,SI,NO,0,,,NO,SIN_COBERTURA,
1166539,SI,SI,1,7,146,NO,OK,
1166529,SI,NO,0,,,NO,SIN_COBERTURA,
1166518,SI,NO,0,,,NO,SIN_COBERTURA,
1166505,SI,SI,1,37,571,NO,OK,
1166495,SI,NO,0,,,NO,SIN_COBERTURA,
1166494,SI,NO,0,,,NO,SIN_COBERTURA,
1166492,SI,SI,1,11,736,NO,OK,
4190139290,SI,SI,1,9,814,NO,OK,
4190139289,SI,SI,1,20,473,NO,OK,
1166460,SI,NO,0,,,NO,SIN_COBERTURA,
1166444,SI,NO,0,,,NO,SIN_COBERTURA,
1166442,SI,SI,1,28,303,NO,OK,
1166432,SI,SI,1,10,181,NO,OK,
1166396,SI,SI,1,62,4185,NO,OK,
4190140024,SI,NO,0,,,NO,SIN_COBERTURA,
