PAGINA,ID_VISUAL,NOMBRE_VISUAL,TIPO_VISUAL,TITULO,SUBTITULO,TABLAS_USADAS,COLUMNAS_USADAS,MEDIDAS_USADAS,FILTROS_VISUAL,FILTROS_PAGINA,FILTROS_REPORTE,ORDENAMIENTO,DRILLTHROUGH,TOOLTIP,VISIBLE,X,Y,ANCHO,ALTO,SUPERPOSICION,RESPONDE_PREGUNTA_NEGOCIO,OBSERVACION
01.1 Auditoría por Pedido,nav_cuellos_v34,nav_cuellos_v34,actionButton,,,,,,,,,,,,SI,1232,10,164,42,,,
01.1 Auditoría por Pedido,nav_detalle_v34,nav_detalle_v34,actionButton,,,,,,,,,,,,SI,1404,10,164,42,,,
01.1 Auditoría por Pedido,nav_resumen_v34,nav_resumen_v34,actionButton,,,,,,,,,,,,SI,888,10,164,42,,,
01.1 Auditoría por Pedido,nav_tracking_v34,nav_tracking_v34,actionButton,,,,,,,,,,,,SI,1060,10,164,42,,,
01.1 Auditoría por Pedido,panel_e68971fdd4ed43,panel_e68971fdd4ed43,shape,,,,,,,,,,,,SI,25,392,260,463,,,
01.1 Auditoría por Pedido,slicer_b3b552ed5de540,slicer_b3b552ed5de540,slicer,,,Dim_Pedido,PED_NUMERO_PEDIDO,,,,,,,,SI,25,82,260,108,,,
01.1 Auditoría por Pedido,slicer_b9672eb4d21342,slicer_b9672eb4d21342,slicer,,,Dim_Metrica_Auditoria,Medida,,,,,,,,SI,25,205,260,170,,,
01.1 Auditoría por Pedido,sync_mes_3m_v39,sync_mes_3m_v39,slicer,,,Dim_Periodo_3M,Etiqueta,,C:Etiqueta,,,,,,SI,0,0,1,1,,,
01.1 Auditoría por Pedido,table_c57572c4abbe4d,table_c57572c4abbe4d,tableEx,CRONOLOGÍA AUDITABLE Y EXPORTABLE · MENÚ (…) → EXPORTAR DATOS,,Fact_Hitos_Operacionales;Medidas,AREA_RESPONSABLE;ESTADO_TRAZABILIDAD;FECHA_FIN;FECHA_INICIO;FUENTE_FECHA;HITO;ORDEN_HITO;REGLA_FECHA_FIN,AUD Días reales;AUD Exceso sobre SLA;AUD SLA objetivo;AUD Semáforo SVG,,,,,,,SI,305,495,1270,360,,,
01.1 Auditoría por Pedido,text_0525f79da21148,text_0525f79da21148,textbox,,,,,,,,,,,,SI,43,445,225,380,,,
01.1 Auditoría por Pedido,text_272b8969e32647,text_272b8969e32647,textbox,,,,,,,,,,,,SI,30,8,830,38,,,
01.1 Auditoría por Pedido,text_879da652872d45,text_879da652872d45,textbox,,,,,,,,,,,,SI,43,410,225,24,,,
01.1 Auditoría por Pedido,text_b8949333e83642,text_b8949333e83642,textbox,,,,,,,,,,,,SI,25,875,1540,16,,,
