CLIENTE,VENDEDOR,FLUJO,MES_1,FUERA_SLA_MES_1,MES_2,FUERA_SLA_MES_2,MES_3,FUERA_SLA_MES_3,MESES_FUERA_SLA,CLASIFICACION_RECURRENCIA,PEDIDOS_TOTAL,PEDIDOS_FUERA_SLA,PORCENTAJE_FUERA_SLA,PROMEDIO_DH_FUERA_SLA,P90_DH_FUERA_SLA
110116,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
900037,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
350045,V400,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,6,1,16.67,6.0,6
799003,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
765001,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
700142,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
150046,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
750060,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
850131,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
750355,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
750254,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
910031,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
330014,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
330032,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
345151,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
205002,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
330028,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
350072,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
766000,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
280015,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
100016,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
785005,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,4,0,0.0,,
920017,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
920015,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
350311,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
596001,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
300008,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
340002,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
770009,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
345028,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
895020,V800,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,4,1,25.0,10.0,10
