MEDIDA,TABLA,EXPRESION_DAX,USA_SLA_FIJO_5,USA_SLA_ZONAL,USA_TRACKING_TRUE,USA_PEDIDO_CERRADO,USA_FECHA_CIERRE_CORRECTA,DEPENDENCIAS,RESULTADO,OBSERVACION
"'RE TT Cierre' = IF(NOT ISBLANK([RE TT Días Top 10]), MAX(Fact_Tracking[FECHA_CIERRE]))",Medidas,,NO,NO,NO,NO,NO,,OK,
'RE TT Título' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE Subtítulo gráfico' = [RE Periodo contexto] & ""  ·  Columnas: pedidos cohorte  ·  Líneas: NS interno y participación""",Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE Subtítulo promesa' = ""*Incluye +2 DH estimados de tránsito  ·  sin POD/última milla""",Medidas,,NO,NO,NO,NO,NO,,OK,
'RE TT Hito crítico' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE TT Exceso crítico DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE TT Motivo operativo' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE Tarjeta pedidos' = FORMAT([RE Pedidos contexto], ""#,##0"", ""es-CL"")",Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE Tarjeta valor' = ""CLP "" & FORMAT(DIVIDE([RE Valor contexto], 1000000), ""#,##0.0"", ""es-CL"") & "" MM""",Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE Tarjeta NS' = FORMAT([RE NS contexto], ""0.0%"", ""es-CL"")",Medidas,,NO,NO,NO,NO,NO,,OK,
'M3 Pedidos evaluados' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'M3 Promedio total DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'M3 Promedio administrativo DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'M3 Promedio operaciones DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'M3 NS interno %' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'M3 Subtítulo' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'TT Contexto pedido' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'TT Detalle hito' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Fuera SLA %' = RETURN 1 - [RE NS contexto],Medidas,,NO,NO,NO,NO,NO,,OK,
'RE KPI Pedidos SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE KPI Valor SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE KPI NS SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE KPI Promesa SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Resumen Mes SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE SLA Panel SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Promesa Lateral SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Tooltip seleccionado texto' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Pedidos 3M contexto' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Pedidos en SLA 3M contexto' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Pedidos fuera SLA 3M contexto' = [RE Pedidos 3M contexto] - [RE Pedidos en SLA 3M contexto],Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE NS 3M contexto' = DIVIDE([RE Pedidos en SLA 3M contexto], [RE Pedidos 3M contexto])",Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Valor 3M contexto' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Valor en SLA 3M contexto' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Valor fuera SLA 3M contexto' = [RE Valor 3M contexto] - [RE Valor en SLA 3M contexto],Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Ventana 3M texto' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Distribución Flujo SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Pedido Seleccionado SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES Total pedidos' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES Puro pedidos' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES con Saldo pedidos' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'RE FES con Saldo %' = DIVIDE([RE FES con Saldo pedidos], [RE FES Total pedidos])",Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES Puro NS' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES con Saldo NS' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES Puro promedio DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES con Saldo promedio DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES Puro P90 DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES con Saldo P90 DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES Brecha facturación promedio DH' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES Diferencia promedio DH' = [RE FES con Saldo promedio DH] - [RE FES Puro promedio DH],Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES Reconciliación' = [RE FES Total pedidos] - [RE FES Puro pedidos] - [RE FES con Saldo pedidos],Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES Contexto texto' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE FES Diagnóstico SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'RE Evolución 3M SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
'TR Clasificación SVG' =,Medidas,,NO,NO,NO,NO,NO,,OK,
"'ML Pedidos pendientes' = CALCULATE(DISTINCTCOUNT(Resultado[PED_NUMERO_PEDIDO]), Resultado[ES_PENDIENTE] = TRUE())",Medidas,,NO,NO,NO,NO,NO,,OK,
"'ML Pedidos alto riesgo' = CALCULATE([ML Pedidos pendientes], Resultado[RIESGO_ATRASO] IN {""ALTO"", ""ATRASADO""})",Medidas,,NO,NO,NO,NO,NO,,OK,
"'ML Valor alto riesgo' = CALCULATE(SUM(Resultado[VALOR_NETO]), Resultado[ES_PENDIENTE] = TRUE(), Resultado[RIESGO_ATRASO] IN {""ALTO"", ""ATRASADO""})",Medidas,,NO,NO,NO,NO,NO,,OK,
"'ML Atrasos esperados' = CALCULATE(SUM(Resultado[PROB_ML_ATRASO]), Resultado[ES_PENDIENTE] = TRUE())",Medidas,,NO,NO,NO,NO,NO,,OK,
"'ML Probabilidad promedio' = CALCULATE(AVERAGE(Resultado[PROB_ML_ATRASO]), Resultado[ES_PENDIENTE] = TRUE())",Medidas,,NO,NO,NO,NO,NO,,OK,
"'ML Días predichos promedio' = CALCULATE(AVERAGE(Resultado[DH_PREDICHO_ML]), Resultado[ES_PENDIENTE] = TRUE())",Medidas,,NO,NO,NO,NO,NO,,OK,
'ML AUC validación' = MAX(Resultado[AUC_TEST]),Medidas,,NO,NO,NO,NO,NO,,OK,
'ML MAE días validación' = MAX(Resultado[MAE_DIAS_TEST]),Medidas,,NO,NO,NO,NO,NO,,OK,
'ML RMSE días validación' = MAX(Resultado[RMSE_DIAS_TEST]),Medidas,,NO,NO,NO,NO,NO,,OK,
'ML R2 días validación' = MAX(Resultado[R2_DIAS_TEST]),Medidas,,NO,NO,NO,NO,NO,,OK,
'ML Pedidos entrenamiento' = MAX(Resultado[N_ENTRENAMIENTO_FINAL]),Medidas,,NO,NO,NO,NO,NO,,OK,
'ML Modelo versión' = MAX(Resultado[MODELO_VERSION]),Medidas,,NO,NO,NO,NO,NO,,OK,
