tabla_hija,columna_master_referenciada,uso
Fact_Tiempos_Hitos,DH_ENTREGA_COMPLETA_100,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_BRECHA_PRIMER_ULTIMO_DESPACHO,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_PRIMERA_FACTURA_A_ULTIMO_DESPACHO,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_ENT_PRIMERA_ULTIMA,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_PIC_PRIMERO_ULTIMO,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_PAC_PRIMERO_ULTIMO,SELECTCOLUMNS
Fact_Tiempos_Hitos,DH_FAC_PRIMERA_ULTIMA,SELECTCOLUMNS
Resultado,PED_NUMERO_PEDIDO,JOIN (key con Fact_Tracking)
Resultado,PED_CODIGO_CLIENTE,JOIN (key con Dim_Cliente)
Resultado,PED_RESPONSABLE,OTHER (full table → Python)
Resultado,PED_CANAL_CODIGO,OTHER (full table → Python)
Resultado,PED_REGION,OTHER (full table → Python)
Resultado,PED_CONDICION_EXPEDICION_CODIGO,OTHER (full table → Python)
Resultado,PED_ESTADO_CREDITO,OTHER (full table → Python)
Resultado,SERV_TIPO_SERVICIO,OTHER (full table → Python)
Resultado,PED_VALOR_NETO,OTHER (full table → Python)
Resultado,PED_FECHA_HORA,OTHER (full table → Python)
Resultado,DH_ENTREGA_COMPLETA_100,OTHER (full table → Python REQUIRED)
Resultado,PED_CANAL,OTHER (full table → Python OPTIONAL)
Resultado,PED_CONDICION_EXPEDICION,OTHER (full table → Python OPTIONAL)
Resultado,SERV_TIPO_SERVICIO_PLANIFICADO,OTHER (full table → Python OPTIONAL)
Resultado,PED_CIUDAD,OTHER (full table → Python OPTIONAL)
Resultado,ES_FES,OTHER (full table → Python OPTIONAL)
Resultado,ES_SALDO,OTHER (full table → Python OPTIONAL)
Resultado,SEGMENTO_ANALISIS,OTHER (full table → Python OPTIONAL)
Resultado,PED_MONEDA,OTHER (full table → Python)
Resultado,PED_BLOQUEO_ENTREGA,OTHER (full table → Python)
Resultado,OTIF_ESTADO_PEDIDO,OTHER (full table → Python)
Resultado,PED_TEXTO_ESTADO,OTHER (full table → Python)
Resultado,INCLUIR_SLA_NORMAL,OTHER (full table → Python)
Resultado,CRD_P_FECHA_HORA,OTHER (full table → Python)
Resultado,ENT_P_FECHA_HORA,OTHER (full table → Python)
Resultado,PIC_P_FECHA_HORA,OTHER (full table → Python)
