database_name	fecha_desde	fecha_hasta	server_now
DMF_VTA_PRD	2026-05-12	2026-08-12	2026-08-12 10:32:12.873000
---
CANAL	CAUSA_HORA	PEDIDOS
43	ZART_HORA_000000	121
43	ZART_HORA_VALIDA	1111
45	ZART_HORA_000000	33
45	ZART_HORA_VALIDA	268
---
CANAL	PEDIDOS_TOTAL	PEDIDOS_HORA_VALIDA	PEDIDOS_SIN_HORA_VALIDA	COBERTURA_HORA_PCT
43	1232	1111	121	90.18
45	301	268	33	89.04
---
CANAL	CAUSA_ZART	ESTADO_VBAK	PEDIDOS
43	ZART_HORA_000000	SIN_VBAK	1
43	ZART_HORA_000000	VBAK_RECUPERABLE	120
45	ZART_HORA_000000	VBAK_RECUPERABLE	33
---
PEDIDO	CANAL	ZART_FECHA_RAW	ZART_HORA_RAW	ZART_CAUSA	AUART	VBAK_FECHA_RAW	VBAK_HORA_RAW	VBAK_HORA_PARSED	VBAK_CAUSA
1168541	43	Ago  4 2026  9:12PM	211217	ZART_HORA_000000	ZMAY	04-08-2026	21:12:17	21:12:17	VBAK_HORA_VALIDA
4190139307	43	May 12 2026  2:07PM	140727	ZART_HORA_000000	ZPDA	12-05-2026	14:07:27	14:07:27	VBAK_HORA_VALIDA
4190139329	43	May 13 2026  6:09PM	180913	ZART_HORA_000000	ZPDA	13-05-2026	18:09:13	18:09:13	VBAK_HORA_VALIDA
4190139347	43	May 15 2026 12:10AM	001003	ZART_HORA_000000	ZPDA	15-05-2026	00:10:03	00:10:03	VBAK_HORA_VALIDA
4190139357	43	May 18 2026  4:10PM	161020	ZART_HORA_000000	ZPDA	18-05-2026	16:10:20	16:10:20	VBAK_HORA_VALIDA
4190139362	43	May 18 2026  6:08PM	180814	ZART_HORA_000000	ZPDA	18-05-2026	18:08:14	18:08:14	VBAK_HORA_VALIDA
4190139366	43	May 18 2026  7:08PM	190824	ZART_HORA_000000	ZPDA	18-05-2026	19:08:24	19:08:24	VBAK_HORA_VALIDA
4190139392	43	May 20 2026 11:01AM	110114	ZART_HORA_000000	ZPDA	20-05-2026	11:01:14	11:01:14	VBAK_HORA_VALIDA
4190139399	43	May 20 2026  2:05PM	140526	ZART_HORA_000000	ZPDA	20-05-2026	14:05:26	14:05:26	VBAK_HORA_VALIDA
4190139404	43	May 21 2026  6:05PM	180506	ZART_HORA_000000	ZPDA	21-05-2026	18:05:06	18:05:06	VBAK_HORA_VALIDA
4190139429	43	May 25 2026 12:06PM	120627	ZART_HORA_000000	ZPDA	25-05-2026	12:06:27	12:06:27	VBAK_HORA_VALIDA
4190139437	43	May 25 2026  7:01PM	190123	ZART_HORA_000000	ZPDA	25-05-2026	19:01:23	19:01:23	VBAK_HORA_VALIDA
4190139451	43	May 26 2026  3:12PM	151215	ZART_HORA_000000	ZPDA	26-05-2026	15:12:15	15:12:15	VBAK_HORA_VALIDA
4190139464	43	May 26 2026 10:05PM	220510	ZART_HORA_000000	ZPDA	26-05-2026	22:05:10	22:05:10	VBAK_HORA_VALIDA
4190139473	43	May 27 2026  2:09PM	140901	ZART_HORA_000000	ZPDA	27-05-2026	14:09:01	14:09:01	VBAK_HORA_VALIDA
4190139491	43	May 28 2026  1:11AM	011119	ZART_HORA_000000	ZPDA	28-05-2026	01:11:19	01:11:19	VBAK_HORA_VALIDA
4190139492	43	May 28 2026  2:09AM	020904	ZART_HORA_000000	ZPDA	28-05-2026	02:09:04	02:09:04	VBAK_HORA_VALIDA
4190139523	43	May 29 2026 12:01PM	120130	ZART_HORA_000000	ZPDA	29-05-2026	12:01:30	12:01:30	VBAK_HORA_VALIDA
