source_type,source_object,target_type,target_object,dependency_kind,file,evidence
COLUMN,Resultado[MAE_DIAS_TEST],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,MAE_DIAS_TEST
COLUMN,Resultado[MESES_TRAIN_VALIDACION],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,MESES_TRAIN_VALIDACION
COLUMN,Resultado[MES_CREACION],TABLE,Fact_Hitos_Operacionales,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Hitos_Operacionales.tmdl,MES_CREACION
COLUMN,Resultado[MES_CREACION],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,MES_CREACION
COLUMN,Resultado[MES_TEST_VALIDACION],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,MES_TEST_VALIDACION
COLUMN,Resultado[MODELO_DEPENDENCIA],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,MODELO_DEPENDENCIA
COLUMN,Resultado[MODELO_FECHA],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,MODELO_FECHA
COLUMN,Resultado[MODELO_FUENTE_SCORE],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,MODELO_FUENTE_SCORE
COLUMN,Resultado[MODELO_ML],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,MODELO_ML
COLUMN,Resultado[MODELO_VALIDADO],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,MODELO_VALIDADO
COLUMN,Resultado[MODELO_VERSION],TABLE_OR_MEASURE_FILE,Medidas,DAX_OR_M_EXPLICIT,NS.SemanticModel\definition\tables\Medidas.tmdl,Resultado[MODELO_VERSION]
COLUMN,Resultado[MODELO_VERSION],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,MODELO_VERSION
